condition,seed,rate_ms,zeroed,ep_seed,win,draw,steps,n_messages,window_open_frac
A,2,250,0,5200165,1,0,101,21,0.9523809523809523
A,2,250,0,5200166,1,0,69,14,0.9285714285714286
A,2,250,0,5200167,1,0,80,16,0.875
A,2,250,0,5200160,1,0,196,40,0.625
A,2,250,0,5200161,1,0,248,50,0.94
A,2,250,0,5200162,1,0,113,23,0.9565217391304348
A,2,250,0,5200163,1,0,73,15,0.9333333333333333
A,2,250,0,5200108,0,1,600,120,0.775
A,2,250,0,5200109,1,0,196,40,0.85
A,2,250,0,5200110,1,0,144,29,0.8275862068965517
A,2,250,0,5200111,1,0,115,23,0.5652173913043478
A,2,250,0,5200144,1,0,239,48,0.8333333333333334
A,2,250,0,5200145,1,0,90,18,0.8888888888888888
A,2,250,0,5200146,1,0,349,70,0.7
A,2,250,0,5200147,1,0,118,24,1.0
A,2,250,0,5200172,1,0,206,42,0.7857142857142857
A,2,250,0,5200173,1,0,77,16,0.625
A,2,250,0,5200174,1,0,65,13,0.9230769230769231
A,2,250,0,5200175,1,0,116,24,0.9166666666666666
A,2,250,0,5200188,1,0,75,15,0.8
A,2,250,0,5200189,1,0,115,23,0.8260869565217391
A,2,250,0,5200190,1,0,91,19,0.631578947368421
A,2,250,0,5200191,1,0,133,27,0.8518518518518519
A,2,250,0,5200184,1,0,130,26,0.9230769230769231
A,2,250,0,5200185,1,0,114,23,1.0
A,2,250,0,5200186,1,0,106,22,1.0
A,2,250,0,5200187,1,0,146,30,0.9666666666666667
A,2,250,0,5200196,1,0,73,15,1.0
A,2,250,0,5200197,1,0,110,22,1.0
A,2,250,0,5200198,1,0,136,28,0.9285714285714286
A,2,250,0,5200199,1,0,217,44,1.0
A,2,250,0,5200168,1,0,444,89,0.7415730337078652
A,2,250,0,5200169,1,0,67,14,0.9285714285714286
A,2,250,0,5200170,1,0,127,26,0.8846153846153846
A,2,250,0,5200171,1,0,107,22,1.0
A,2,250,0,5200180,1,0,114,23,0.9130434782608695
A,2,250,0,5200181,0,0,442,89,0.7640449438202247
A,2,250,0,5200182,1,0,97,20,1.0
A,2,250,0,5200183,1,0,122,25,0.96
A,2,250,0,5200200,1,0,130,26,0.7692307692307693
A,2,250,0,5200201,1,0,136,28,0.8214285714285714
A,2,250,0,5200202,1,0,163,33,0.8484848484848485
A,2,250,0,5200203,1,0,190,38,0.868421052631579
A,2,250,0,5200204,1,0,156,32,0.75
A,2,250,0,5200205,1,0,153,31,0.7096774193548387
A,2,250,0,5200206,1,0,185,37,0.7027027027027027
A,2,250,0,5200207,1,0,108,22,0.9545454545454546
A,2,250,0,5200212,1,0,132,27,0.7037037037037037
A,2,250,0,5200213,1,0,62,13,0.9230769230769231
A,2,250,0,5200214,1,0,121,25,0.96
A,2,250,0,5200215,1,0,117,24,0.9583333333333334
A,2,250,0,5200176,1,0,114,23,1.0
A,2,250,0,5200177,1,0,117,24,1.0
A,2,250,0,5200178,1,0,282,57,0.7894736842105263
A,2,250,0,5200179,1,0,465,93,0.7526881720430108
A,2,250,0,5200208,1,0,182,37,0.8378378378378378
A,2,250,0,5200209,1,0,84,17,0.8235294117647058
A,2,250,0,5200210,1,0,188,38,0.7631578947368421
A,2,250,0,5200211,1,0,169,34,0.5588235294117647
A,2,250,0,5200216,1,0,121,25,1.0
A,2,250,0,5200217,1,0,113,23,1.0
